WS_HR,O3,PM10,PM25-3,PM25-2,PM25,ANS
0.07142857142857142,21.0,11,25,20,19,30
0.04285714285714285,29.0,38,20,19,30,41
0.2857142857142857,50.0,56,41,44,33,37
0.37142857142857144,57.0,57,44,33,37,36
0.3,65.0,52,33,37,36,45
0.37142857142857144,38.0,36,44,41,30,24
0.3428571428571428,38.0,42,41,30,24,13
0.3285714285714285,36.0,42,30,24,13,21
0.3571428571428571,39.0,49,24,13,21,23
0.3428571428571428,38.0,34,13,21,23,30
0.39999999999999997,39.0,31,21,23,30,30
0.38571428571428573,39.0,16,23,30,30,22
0.2857142857142857,34.0,18,30,30,22,18
0.07142857142857142,31.0,8,30,22,18,13
0.11428571428571428,30.0,16,22,18,13,13
0.21428571428571427,18.0,24,18,13,13,11
0.09999999999999999,17.0,37,13,13,11,22
0.02857142857142857,24.0,58,13,11,22,25
0.09999999999999999,46.0,51,11,22,25,34
0.1714285714285714,45.0,63,22,25,34,38
0.37142857142857144,46.0,60,25,34,38,50
0.3285714285714285,38.0,64,45,46,32,16
0.24285714285714283,32.0,62,46,32,16,19
0.0857142857142857,20.0,57,32,16,19,22
0.2571428571428571,25.0,49,16,19,22,26
0.3142857142857143,35.0,42,19,22,26,19
0.24285714285714283,34.0,38,22,26,19,25
0.1714285714285714,28.0,27,26,19,25,27
0.1714285714285714,30.0,31,19,25,27,20
0.1714285714285714,33.0,33,25,27,20,16
0.1714285714285714,30.0,30,27,20,16,14
0.2857142857142857,34.0,19,20,16,14,15
0.18571428571428572,33.0,12,16,14,15,8
0.14285714285714285,15.0,10,14,15,8,4
0.05714285714285714,8.7,15,8,4,9,16
0.12857142857142856,25.0,36,4,9,16,22
0.2714285714285714,43.0,43,9,16,22,23
0.3428571428571428,56.0,43,16,22,23,29
0.24285714285714283,57.0,33,22,23,29,32
0.3,50.0,41,23,29,32,36
0.2857142857142857,45.0,56,29,32,36,34
0.19999999999999998,30.0,68,32,36,34,45
0.1714285714285714,20.0,61,40,41,23,29
0.3571428571428571,37.0,53,41,23,29,23
0.05714285714285714,29.0,50,23,29,23,37
0.07142857142857142,22.0,52,29,23,37,27
0.0857142857142857,20.0,49,23,37,27,27
0.09999999999999999,15.0,41,37,27,27,14
0.07142857142857142,17.0,40,27,27,14,20
0.11428571428571428,22.0,37,27,14,20,22
0.07142857142857142,26.0,37,14,20,22,24
0.07142857142857142,26.0,40,20,22,24,26
0.12857142857142856,33.0,52,22,24,26,33
0.0857142857142857,40.0,53,24,26,33,48
0.18571428571428572,31.0,38,46,42,35,35
0.3142857142857143,31.0,37,42,35,35,40
0.2714285714285714,33.0,32,43,41,32,35
0.3428571428571428,35.0,25,41,32,35,31
0.3571428571428571,35.0,31,32,35,31,33
0.3,33.0,45,35,31,33,25
0.2571428571428571,31.0,43,31,33,25,36
0.2714285714285714,27.0,44,33,25,36,28
0.22857142857142856,21.0,34,25,36,28,33
0.14285714285714285,18.0,40,36,28,33,29
0.05714285714285714,30.0,39,28,33,29,42
0.21428571428571427,36.0,73,43,39,38,48
0.2571428571428571,51.0,50,41,39,36,35
0.38571428571428573,56.0,61,39,36,35,36
0.24285714285714283,45.0,73,36,35,36,36
0.1714285714285714,49.0,72,35,36,36,32
0.1714285714285714,46.0,62,36,36,32,33
0.3285714285714285,46.0,54,36,32,33,33
0.14285714285714285,35.0,54,32,33,33,34
0.14285714285714285,33.0,52,33,33,34,21
0.18571428571428572,32.0,39,33,34,21,15
0.09999999999999999,31.0,32,34,21,15,13
0.45714285714285713,29.0,20,21,15,13,18
0.5142857142857142,28.0,17,15,13,18,15
0.42857142857142855,28.0,17,13,18,15,9
0.24285714285714283,29.0,12,18,15,9,9
0.45714285714285713,32.0,10,15,9,9,14
0.2571428571428571,33.0,16,9,9,14,15
0.19999999999999998,35.0,28,9,14,15,20
0.2571428571428571,34.0,29,14,15,20,16
0.3571428571428571,33.0,27,15,20,16,23
0.5142857142857142,34.0,21,20,16,23,16
0.19999999999999998,31.0,31,16,23,16,17
0.0,31.0,20,23,16,17,9
0.2857142857142857,32.0,22,16,17,9,7
0.3142857142857143,34.0,20,17,9,7,7
0.3142857142857143,34.0,0,9,7,7,20
0.04285714285714285,34.0,0,7,7,20,20
0.18571428571428572,32.0,18,7,20,20,20
0.21428571428571427,29.0,18,20,20,20,18
0.12857142857142856,26.0,19,20,20,18,18
0.1714285714285714,28.0,19,20,18,18,22
0.21428571428571427,27.0,23,18,18,22,15
0.3428571428571428,30.0,17,18,22,15,11
0.2571428571428571,30.0,12,22,15,11,1
0.19999999999999998,27.0,5,1,1,6,7
0.22857142857142856,29.0,9,1,6,7,7
0.12857142857142856,27.0,9,6,7,7,0
0.04285714285714285,13.0,1,1,1,7,7
0.11428571428571428,14.0,6,1,7,7,8
0.09999999999999999,22.0,10,7,7,8,4
0.3428571428571428,38.0,39,8,4,8,12
0.2857142857142857,46.0,42,4,8,12,19
0.37142857142857144,50.0,46,8,12,19,23
0.3142857142857143,52.0,40,12,19,23,20
0.22857142857142856,50.0,37,19,23,20,18
0.12857142857142856,39.0,39,23,20,18,15
0.05714285714285714,27.0,34,20,18,15,16
0.11428571428571428,12.0,41,18,15,16,10
0.22857142857142856,17.0,23,15,16,10,6
0.2571428571428571,20.0,27,16,10,6,11
0.2571428571428571,19.0,19,10,6,11,22
0.2714285714285714,21.0,30,6,11,22,28
0.24285714285714283,21.0,30,11,22,28,25
0.18571428571428572,19.0,32,22,28,25,21
0.2571428571428571,22.0,34,28,25,21,25
0.22857142857142856,24.0,30,25,21,25,24
0.2714285714285714,24.0,43,21,25,24,23
0.2857142857142857,22.0,37,25,24,23,18
0.2714285714285714,21.0,40,24,23,18,20
0.2857142857142857,16.0,23,23,18,20,14
0.24285714285714283,16.0,14,18,20,14,7
0.05714285714285714,6.3,18,20,14,7,17
0.07142857142857142,22.0,27,14,7,17,31
0.18571428571428572,47.0,53,7,17,31,44
0.3285714285714285,42.0,72,43,46,36,36
0.3428571428571428,32.0,66,46,36,36,29
0.3,36.0,70,36,36,29,32
0.05714285714285714,37.0,66,36,29,32,33
0.09999999999999999,24.0,69,29,32,33,30
0.18571428571428572,24.0,69,32,33,30,40
0.14285714285714285,8.6,44,30,40,36,46
0.3142857142857143,37.0,56,52,40,32,37
0.07142857142857142,26.0,45,40,32,37,31
0.12857142857142856,10.0,38,32,37,31,34
0.0857142857142857,12.0,31,37,31,34,32
0.22857142857142856,33.0,40,31,34,32,33
0.14285714285714285,33.0,58,34,32,33,31
